"taxon","donor_id","target_id","donor_ug","target_ug","threshold_admix","threshold_zone","threshold_used","donor","target","W_j","T_obs","T_pred","T_ci_lower","T_ci_upper","prob_allowed","allowed_obs","allowed_boot","is_neighbor","n_donor","n_target","too_small","state_obs","state_boot","fst_sig","Nboot"
"ACH.AGG",19,1,"UG 19","UG 01",0.0157919338528995,0.0213456149024095,0.0157919338528995,"19","01",0.106796628976324,0.034740400380062,0.0350467770987324,0.0238264121630073,0.0439381389098289,0,FALSE,FALSE,FALSE,36,55,FALSE,"not_considered","not_considered",TRUE,100
"ACH.AGG",20,1,"UG 20","UG 01",0.0157919338528995,0.0213456149024095,0.0157919338528995,"20","01",0.106796628976324,0.012234262574638,0.0117919005141598,0.00344753817456365,0.0195988890439389,0.82,TRUE,TRUE,FALSE,31,55,FALSE,"not_considered","not_considered",TRUE,100
"ACH.AGG",21,1,"UG 21","UG 01",0.0157919338528995,0.0213456149024095,0.0157919338528995,"21","01",0.106796628976324,0.0245381099062563,0.0231308702811623,0.0113304387701093,0.0367939773577563,0.13,FALSE,FALSE,FALSE,16,55,FALSE,"not_considered","not_considered",TRUE,100
"ACH.AGG",22,1,"UG 22","UG 01",0.0157919338528995,0.0213456149024095,0.0157919338528995,"22","01",0.106796628976324,0.0460359772966736,0.0433311783235386,0.0274048974691281,0.0626539871222118,0,FALSE,FALSE,FALSE,14,55,FALSE,"not_considered","not_considered",TRUE,100
"ACH.AGG",1,2,"UG 01","UG 02",0.0157919338528995,0.0213456149024095,0.0157919338528995,"01","02",0.124116138659337,-0.000211812139112186,-9.97910601944277e-05,-0.0113395007903703,0.0085979534755654,1,TRUE,TRUE,TRUE,55,35,FALSE,"allowed","allowed",TRUE,100
"ACH.AGG",2,2,"UG 02","UG 02",0.0157919338528995,0.0213456149024095,0.0157919338528995,"02","02",,,,,,,,,FALSE,35,35,FALSE,"not_considered","not_considered",,100
"ACH.AGG",3,2,"UG 03","UG 02",0.0157919338528995,0.0213456149024095,0.0157919338528995,"03","02",0.124116138659337,0.0149374073405639,0.0155501350780746,0.00282350636122463,0.0286746487621257,0.54,TRUE,TRUE,FALSE,47,35,FALSE,"not_considered","not_considered",TRUE,100
"ACH.AGG",4,2,"UG 04","UG 02",0.0157919338528995,0.0213456149024095,0.0157919338528995,"04","02",0.124116138659337,0.0224790587005408,0.0213767956145803,0.00977709486148751,0.0368821688739185,0.24,FALSE,FALSE,FALSE,54,35,FALSE,"not_considered","not_considered",TRUE,100
"ACH.AGG",5,2,"UG 05","UG 02",0.0157919338528995,0.0213456149024095,0.0157919338528995,"05","02",0.124116138659337,0.0261876089025904,0.0256369458980281,0.0119859075472003,0.0382262980680042,0.09,FALSE,FALSE,FALSE,79,35,FALSE,"not_considered","not_considered",TRUE,100
"ACH.AGG",6,2,"UG 06","UG 02",0.0157919338528995,0.0213456149024095,0.0157919338528995,"06","02",0.124116138659337,0.00762386096170084,0.00682661112729037,-0.00621721133699752,0.0188770692521753,0.89,TRUE,TRUE,TRUE,45,35,FALSE,"allowed","allowed",TRUE,100
"ACH.AGG",7,2,"UG 07","UG 02",0.0157919338528995,0.0213456149024095,0.0157919338528995,"07","02",0.124116138659337,-0.00103002353873041,-0.00140900053254155,-0.0114197023899922,0.0117572401624987,0.99,TRUE,TRUE,TRUE,62,35,FALSE,"allowed","allowed",TRUE,100
"ACH.AGG",8,2,"UG 08","UG 02",0.0157919338528995,0.0213456149024095,0.0157919338528995,"08","02",0.124116138659337,-0.00655740938506229,-0.00559490637485928,-0.0197726045050894,0.00597070192958017,1,TRUE,TRUE,FALSE,18,35,FALSE,"not_considered","not_considered",TRUE,100
"ACH.AGG",9,2,"UG 09","UG 02",0.0157919338528995,0.0213456149024095,0.0157919338528995,"09","02",0.124116138659337,0.008144269373413,0.008159102781262,-0.00568833044375781,0.0227126653937961,0.86,TRUE,TRUE,FALSE,35,35,FALSE,"not_considered","not_considered",FALSE,100
"ACH.AGG",10,2,"UG 10","UG 02",0.0157919338528995,0.0213456149024095,0.0157919338528995,"10","02",0.124116138659337,0.0213211981075911,0.0208706401873005,0.00843522876154706,0.0384829803150636,0.19,FALSE,FALSE,FALSE,23,35,FALSE,"not_considered","not_considered",TRUE,100
"ACH.AGG",11,2,"UG 11","UG 02",0.0157919338528995,0.0213456149024095,0.0157919338528995,"11","02",0.124116138659337,0.0267572322605752,0.0251506131002646,0.00955834789605251,0.0447893292334067,0.11,FALSE,FALSE,FALSE,46,35,FALSE,"not_considered","not_considered",TRUE,100
"ACH.AGG",12,2,"UG 12","UG 02",0.0157919338528995,0.0213456149024095,0.0157919338528995,"12","02",0.124116138659337,0.0203373852917326,0.0187462521271466,0.00301002980903434,0.0415433492495388,0.34,FALSE,FALSE,FALSE,24,35,FALSE,"not_considered","not_considered",TRUE,100
